id;data;sfh5711;sfh3400;tsl261r;sfh3410;sfh2430;bp104fas;tsl13s;tsl2569t_c;tsl2569t_ir;tcs3414_r;tcs3414_g;tcs3414_b;tcs3414_c;df01;df02;df03;df04;df05;df06;df07;df08;df09;df10;i1;i2;i3;i4;i5;i6;i7;probmax;energia;entropia;contraste;homogeneidade;correlacao;tipo_lampada;potencia
365;2013-09-08 19:35:49;2796;1582;4095;1295;1209;3827;3128;9095;9534;6251;23329;22027;6033;0,0390109791661388;0,0643106957785285;0,024896529983094;0,0278354301706477;0,0114461742911094;0,0103875077582075;0,00303558954649422;0,00586066064187101;0,00324245814929465;0,00392510349618275;0,166363986900956;0,00113208310795656;7,40770933727905e-005;2,67284680359372e-006;3,73845511538557e-011;-1,61131592093628e-008;-4,11165482243895e-012;0,856187367027325;2,92990486828169;8,80883046367816;-42,7392806205756;3,66395732882621;0,000175964668105439;metalica                                                        ;400
366;2013-09-08 19:37:00;2830;1768;4095;1401;1307;4095;3200;10109;10044;6616;25018;23989;6763;0,0222050286873186;0,0712528838872219;0,0233184058770492;0,0266984265920759;0,0117246861085435;0,0114836061268101;0,00293694850145318;0,00538875175414852;0,00285819974249756;0,00376438061242724;0,16570208012472;0,00144331951282834;3,8502897971956e-005;3,16337182144102e-008;2,59599962376063e-014;1,04041151728484e-009;2,33433379183807e-014;0,847537945896964;2,87100942579553;9,02799557857754;-34,37295550482;3,6716590803247;0,000190466001855676;metalica                                                        ;400
367;2013-09-08 19:45:34;2846;1721;4095;1407;1322;4095;3213;10142;10447;6811;25652;24142;6563;0,0227429488862586;0,0586653164200634;0,0229776740060036;0,028250151917281;0,0103952383658506;0,010494069542898;0,00362510370448297;0,00626852768296601;0,00390974398272822;0,00308795858412391;0,164244377223645;0,000989480533272374;5,07842514712348e-005;4,6070315446658e-009;-1,67930222305325e-015;-1,29428862146149e-010;-1,46484906942623e-015;0,901710137596659;3,25117228718927;5,84991727089702;-36,7153678850577;3,79679772573191;0,000354536807881161;metalica                                                        ;400
368;2013-09-08 19:46:24;2527;979;3625;868;789;2162;2221;5755;6646;4495;15951;14416;3639;0,0251222240430014;0,0568852826738573;0,0230539230347935;0,029984346340819;0,00955179339538698;0,0106419303171397;0,00295378129214153;0,00696420716626228;0,00303916296501177;0,00345742170378628;0,163885644637296;0,000861616108613621;4,5864033546745e-005;2,45281538852279e-009;1,27499224710377e-016;3,62589277998434e-011;8,12744763641718e-016;0,882861691181705;3,11696081505639;6,85771211668478;-34,4444439305882;3,76363185935997;0,000352721050936881;metalica                                                        ;400
369;2013-09-08 19:48:14;2596;1135;4095;925;847;2863;2337;6367;7222;4064;16490;14920;4207;0,0214526035957685;0,0402968472150525;0,0203841025060558;0,0189264019746331;0,0071973819830384;0,00708897376181781;0,00478574846892992;0,00678638566525757;0,00497590858590566;0,00550085634685461;0,162647836480973;0,000583375613837025;5,22702702079716e-005;2,99531012393272e-009;6,90309552384617e-016;1,20599781178522e-011;9,63411412549874e-016;0,907092032215185;3,28914268082535;5,48895033836426;-32,8839961885579;3,80636708873771;0,00013568847050597;metalica                                                        ;400
370;2013-09-08 19:49:29;2710;1256;4089;1117;1032;2689;2798;7368;8497;5792;20472;18699;4670;0,0237866634277618;0,0580133039138248;0,0234368600789663;0,0289313592792559;0,0109477300783295;0,00999163829662266;0,00323010504921615;0,00609978037439343;0,00350397067158598;0,003619768446754;0,164268145023384;0,000872454223091633;5,10272429010111e-005;8,5787165219743e-008;-1,24060538329127e-013;-1,96253259111525e-009;1,29710418901162e-013;0,888733685237192;3,15806390705511;6,76602573981457;-40,3923250177082;3,75731846099637;0,000291096328338033;metalica                                                        ;400
371;2013-09-08 19:52:14;2782;1511;1615;1227;1279;2904;2576;13918;8857;2109;23078;20212;5866;0,00908555439264434;0,0199100322024273;0,00892755667549979;0,00249486921219008;0,00327685403781907;0,00167413710293199;0,00201151385928048;0,000858320409671668;0,00169539572788089;0,000779950296503489;0,178275670318958;0,000263489164158868;1,39831976759911e-005;1,96487981334895e-006;8,89502655508069e-012;2,39811360679973e-008;5,19170989956043e-012;0,386318316194608;0,603617274265466;24,6858888604064;-5,9992645419548;3,35546674589438;0,000177992718833158;sodio                                                           ;400
372;2013-09-08 19:53:06;2686;1243;1305;1053;1037;2275;2284;11367;7524;1694;18764;16294;4791;0,0911929749571257;0,0147798587458587;0,0127073085981505;0,013820789131196;0,00728071247796184;0,00891189985821856;0,0078978309802674;0,00872947778564593;0,00838062209632501;0,00762241554478447;0,19890060916834;0,0004646403560116;0,0015996189962952;0,00123264970515912;1,7042960932796e-006;2,51794031443247e-005;3,02211623814987e-007;0,440115853560456;0,778797330240859;23,8181162259427;-6,63905474287177;3,32409302747309;0,000170599461106949;sodio                                                           ;400
373;2013-09-08 19:53:41;2739;1392;1493;1142;1177;2619;2502;12953;8151;1943;21341;18476;5346;0,0519641236098874;0,0392964348906078;0,0340157344825504;0,0248525179374673;0,0234988872148666;0,019284910443586;0,016720317112112;0,0152762135787769;0,0134634267045822;0,0112995902991766;0,189615300556384;0,000519219464112186;0,000316912329353751;8,25385832344476e-005;1,23311615489745e-008;1,5816339711512e-006;5,11306822212406e-009;0,324115979743845;0,428429606441706;26,695800878924;-4,67710851236065;3,26712808022912;0,000189292735926012;sodio                                                           ;400
374;2013-09-08 19:54:11;2771;1354;1410;1123;1182;2606;2502;12993;8714;1943;21564;18167;5127;0,00549307667847964;0,0044454520198203;0,00537705456751837;0,00244732873698556;0,000534329525711452;0,00199752333215052;0,000476054987504379;0,00186975588966105;0,000530772256904977;0,00163284969184401;0,170652906254575;4,59325677811982e-005;8,42642603036924e-006;1,15636972154589e-006;3,57534288317075e-012;-3,56822904057472e-009;4,96585535858527e-013;0,497326132637627;0,992763776963455;21,4185024420978;-7,76025753692;3,37231467946325;0,000162713625401444;sodio                                                           ;400
